--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:28:49 2023
--------------------------------------------------------------------------------

{'pid': 6464, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 2.16015625}
{'pid': 6512, 'name': 'WmiPrvSE.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 36.84375}
{'pid': 6620, 'name': 'RtkAudUService64.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.83984375}
{'pid': 6860, 'name': 'sublime_text.exe', 'username': 'DC2\\ashinde05', 'vms': 93.38671875}
{'pid': 6904, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 47.234375}
{'pid': 6916, 'name': 'ctfmon.exe', 'username': 'DC2\\ashinde05', 'vms': 4.33984375}
{'pid': 7080, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.76953125}
{'pid': 7184, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.3828125}
{'pid': 7384, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.51953125}
{'pid': 7396, 'name': 'SystemSettings.exe', 'username': 'DC2\\ashinde05', 'vms': 55.1328125}
{'pid': 7432, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 185.90234375}
{'pid': 7588, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 11.390625}
{'pid': 7592, 'name': 'conhost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.58984375}
{'pid': 7612, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.84375}
{'pid': 7692, 'name': 'Dell.TechHub.Analytics.SubAgent.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 56.6953125}
{'pid': 7816, 'name': 'DDVRulesProcessor.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.18359375}
{'pid': 8012, 'name': 'explorer.exe', 'username': 'DC2\\ashinde05', 'vms': 259.47265625}
{'pid': 8200, 'name': 'SearchApp.exe', 'username': 'DC2\\ashinde05', 'vms': 183.87109375}
{'pid': 8260, 'name': 'PanGPA.exe', 'username': 'DC2\\ashinde05', 'vms': 4.703125}
{'pid': 8336, 'name': 'SearchApp.exe', 'username': 'DC2\\ashinde05', 'vms': 157.23828125}
{'pid': 8344, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 8.2109375}
{'pid': 8480, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 54.52734375}
{'pid': 8548, 'name': 'SkypeApp.exe', 'username': 'DC2\\ashinde05', 'vms': 48.30859375}
{'pid': 8596, 'name': 'SkypeBackgroundHost.exe', 'username': 'DC2\\ashinde05', 'vms': 2.04296875}
{'pid': 8764, 'name': 'Dell.TechHub.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 40.953125}
{'pid': 8800, 'name': 'SentinelUI.exe', 'username': 'DC2\\ashinde05', 'vms': 23.3125}
{'pid': 8924, 'name': 'CompPkgSrv.exe', 'username': 'DC2\\ashinde05', 'vms': 1.61328125}
{'pid': 8952, 'name': 'RuntimeBroker.exe', 'username': 'DC2\\ashinde05', 'vms': 4.21484375}
{'pid': 9016, 'name': 'svchost.exe', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.671875}
{'pid': 9036, 'name': 'Code.exe', 'username': 'DC2\\ashinde05', 'vms': 31.484375}
{'pid': 9060, 'name': 'chrome.exe', 'username': 'DC2\\ashinde05', 'vms': 39.12890625}
