--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:23:07 2023
--------------------------------------------------------------------------------

{'pid': 11296, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 77.140625}
{'pid': 11412, 'username': 'DC2\\ashinde05', 'name': 'ShellExperienceHost.exe', 'vms': 47.94921875}
{'pid': 11420, 'username': 'DC2\\ashinde05', 'name': 'OcsSystray.exe', 'vms': 2.7265625}
{'pid': 11428, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'WmiPrvSE.exe', 'vms': 25.6171875}
{'pid': 11448, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 11.0703125}
{'pid': 11540, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 152.90234375}
{'pid': 11564, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 16.1171875}
{'pid': 11748, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 52.4609375}
{'pid': 11800, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 206.65234375}
{'pid': 12000, 'username': 'DC2\\ashinde05', 'name': 'chrome.exe', 'vms': 75.015625}
{'pid': 12008, 'username': 'DC2\\ashinde05', 'name': 'slack.exe', 'vms': 42.453125}
{'pid': 12084, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'DCProcessMonitor.exe', 'vms': 3.0078125}
{'pid': 12120, 'username': 'DC2\\ashinde05', 'name': 'dcagenttrayicon.exe', 'vms': 5.7734375}
{'pid': 12144, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'WmiPrvSE.exe', 'vms': 40.09375}
{'pid': 12236, 'username': 'NT AUTHORITY\\NETWORK SERVICE', 'name': 'svchost.exe', 'vms': 5.32421875}
{'pid': 12368, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'name': 'svchost.exe', 'vms': 3.578125}
{'pid': 12988, 'username': 'DC2\\ashinde05', 'name': 'cmd.exe', 'vms': 3.51953125}
{'pid': 13076, 'username': 'DC2\\ashinde05', 'name': 'Code.exe', 'vms': 292.54296875}
