--------------------------------------------------------------------------------
My Process Logs: Sun Oct  1 23:25:27 2023
--------------------------------------------------------------------------------

{'name': 'svchost.exe', 'pid': 3364, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.53125}
{'name': 'Dell.TechHub.Diagnostics.SubAgent.exe', 'pid': 3388, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 58.37109375}
{'name': 'PresentationFontCache.exe', 'pid': 3416, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 25.4140625}
{'name': 'svchost.exe', 'pid': 3488, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 2.97265625}
{'name': 'svchost.exe', 'pid': 3560, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 10.69140625}
{'name': 'svchost.exe', 'pid': 3576, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 3.06640625}
{'name': 'svchost.exe', 'pid': 3584, 'username': 'DC2\\ashinde05', 'vms': 8.33984375}
{'name': 'chrome.exe', 'pid': 3792, 'username': 'DC2\\ashinde05', 'vms': 67.03515625}
{'name': 'vmcompute.exe', 'pid': 3856, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.94921875}
{'name': 'svchost.exe', 'pid': 3928, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 3.375}
{'name': 'conhost.exe', 'pid': 3972, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.09375}
{'name': 'wlanext.exe', 'pid': 3988, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 1.3671875}
{'name': 'svchost.exe', 'pid': 4036, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 4.71875}
{'name': 'svchost.exe', 'pid': 4040, 'username': 'NT AUTHORITY\\LOCAL SERVICE', 'vms': 1.79296875}
{'name': 'svchost.exe', 'pid': 4076, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 6.9453125}
{'name': 'taskhostw.exe', 'pid': 4132, 'username': 'DC2\\ashinde05', 'vms': 7.25390625}
